Image_Name,MSE,MAE,SSIM,PSNR
0001.png,0.08418367346938774,0.45065369897959184,0.999669757878277,57.53153914113024
0002.png,0.00314891581632653,0.10694355867346937,0.999995749466612,73.14919310581813
0003.png,0.022241709183673467,0.12069515306122448,0.9999823852592629,64.65912202934676
0004.png,0.024254623724489797,0.12490035076530612,0.9999690781732933,62.75781404262314
0005.png,0.03663105867346939,0.16856664540816327,0.9999554807496417,60.976019861596704
0006.png,0.01259566326530612,0.076171875,0.9999904956287016,67.1285931925385
0007.png,0.022660235969387755,0.0964405293367347,0.9999852733155851,64.57815932848501
0008.png,0.2500797193877551,0.8139748086734695,0.9991165924345368,52.72727739050875
0009.png,0.025948660714285716,0.05337213010204082,0.9999869637145922,63.989654133040624
0010.png,0.055763711734693876,0.058872767857142856,0.9999814663800297,59.937484037605174
0011.png,0.012735172193877552,0.0826889349489796,0.9999939694271314,67.08075539377836
0012.png,0.17761479591836735,0.9376594387755102,0.9994745817421271,51.149420729978445
0013.png,0.04075653698979592,0.40806361607142855,0.9998384571311897,61.516597788675924
0014.png,0.02188297193877551,0.10738201530612246,0.9999874024844668,64.72974057422162
0015.png,0.0022919323979591834,0.015565210459183675,0.9999967959447732,74.52878557182625
0016.png,0.04165338010204082,0.25809151785714285,0.9999091829246705,61.934301114251824
0017.png,0.19170519770408165,0.28816565688775514,0.9996393416380718,51.93783509055785
0018.png,0.03501674107142857,0.4364038584183674,0.9998505813480384,62.68804636040941
0019.png,0.03633211096938776,0.061124840561224504,0.9999622314733396,62.527897288812596
0020.png,0.0799186862244898,0.5186543367346939,0.9997481294499714,59.10432024916054
0021.png,0.031509088010204085,0.13032126913265307,0.9999521499936912,63.14644527604027
0022.png,0.06411431760204082,0.18205915178571427,0.9999305479094356,58.138253658467214
0023.png,0.11814413265306123,0.3822544642857143,0.9997259437443313,57.22306916625968
0024.png,0.051399075255102046,0.3121213329081632,0.9998694548507617,61.02125055398298
0025.png,0.034498565051020405,0.05622209821428572,0.9999400883517098,62.75279329660842
0026.png,0.20322464923469388,0.29203204719387754,0.9995470231923271,52.86899176751681
0027.png,0.06885762117346939,0.2994858099489796,0.9998866024336015,59.75128345826019
0028.png,0.03539540816326531,0.1656170280612245,0.9998941063222506,62.64133436093654
0029.png,0.024274553571428572,0.09614158163265306,0.9999848608564408,64.27929109239379
0030.png,0.17207429846938774,0.5209263392857143,0.999138929131534,55.523452004915725
0031.png,0.022640306122448977,0.2229751275510204,0.9999570375014903,64.58198066161236
0032.png,0.053113042091836725,0.28573421556122447,0.9998098382020406,60.87879184173645
0033.png,0.16151147959183673,0.5231983418367346,0.9995105074934925,55.41188398428763
0034.png,0.009068080357142858,0.05422911352040816,0.9999783402502548,68.55565000879123
0035.png,0.3395049426020408,0.18656329719387757,0.9992976490367641,50.98686575766638
0036.png,0.1386918048469388,0.45473931760204084,0.9996329528436277,55.234596314683316
0037.png,0.022042410714285716,0.07262436224489797,0.9999901551553574,64.69821270567556
0038.png,0.01020408163265306,0.08175223214285716,0.9999930104567777,68.04306436560405
0039.png,0.07645089285714286,0.11112882653061225,0.9998416855560087,52.79362922697641
0040.png,0.08113440688775511,0.4433793048469387,0.9997966734702173,58.28820775427612
0041.png,0.04504145408163265,0.41920440051020413,0.999876186177487,61.128657607630046
0042.png,0.10744180484693877,0.09022241709183675,0.9999120169260449,57.425036143150415
0043.png,0.29225127551020413,0.40513392857142855,0.9992589351628411,53.18008816876508
0044.png,0.08599728954081633,0.16559709821428573,0.9998183459228405,58.78595597485008
0045.png,0.012037627551020407,0.017737563775510203,0.9999900552333686,67.32539458915105
0046.png,0.0899234693877551,0.09287308673469388,0.9998978345462001,57.13960193054737
0047.png,0.0753547512755102,0.7477479272959184,0.9996781477517793,59.359697201737006
0048.png,0.006397480867346939,0.0519969706632653,0.9999944612539551,70.07071365131364
0049.png,0.036750637755102046,0.1931202168367347,0.9999676551824811,60.55997250540473
0050.png,0.08508051658163265,0.17137675382653064,0.9998149700414539,58.114044466785245
0051.png,0.013891103316326531,0.03716916454081633,0.9999912859354081,65.34483496897909
0052.png,0.03521603954081633,0.09153778698979594,0.9999731057307253,61.5583207235586
0053.png,0.3983378507653062,0.5078324298469388,0.9991591123433542,47.87118159548746
0054.png,0.005201690051020408,0.02170360331632653,0.9999956200722174,70.96935890197955
0055.png,0.011399872448979593,0.09235491071428571,0.9999933381219911,67.56180368743212
0056.png,0.007055165816326531,0.08701371173469388,0.9999940874656008,69.64573135510447
0057.png,0.04462292729591837,0.12139269770408163,0.9999561748732799,61.635223039572054
0058.png,0.13805404974489796,0.5239756058673469,0.999630344399992,55.2488369498642
0059.png,0.008808992346938776,0.07748724489795919,0.9999928790985715,68.68154128187145
0060.png,0.02810108418367347,0.11503507653061225,0.9999811694000706,63.64357284880856
0061.png,0.0049824617346938774,0.04647640306122449,0.9999958411968147,71.15636388864198
0062.png,0.040756536989795915,0.2880460778061224,0.9998706004300463,62.028830851928745
0063.png,0.0703922193877551,0.5500239158163265,0.9997170556945217,59.65555702630705
0064.png,0.07110969387755103,0.15166613520408165,0.9999252709761944,58.28013786378007
0065.png,0.36009247448979587,0.6973453443877551,0.9992725169195383,51.93762712997558
0066.png,0.1702407525510204,0.28431919642857145,0.9995492526432631,54.783067974368
0067.png,0.024075255102040817,0.3021763392857143,0.999937677757631,64.31509463251123
0068.png,0.3564652423469388,0.5508211096938775,0.998649628695675,51.517352820809094
0069.png,0.006158322704081632,0.1266143176020408,0.999991921031529,70.23617918111401
0070.png,0.02293925382653061,0.09193638392857142,0.9999863077641175,63.6528230010149
0071.png,0.0812141262755102,0.7392976721938777,0.9997488612350881,58.769882138063934
0072.png,0.005819515306122449,0.07676977040816325,0.9999927687119031,70.48193546087818
0073.png,0.004364636479591837,0.05662069515306123,0.9999950085208968,71.73132282696118
0074.png,0.019989636479591837,0.02337771045918367,0.9999827118116192,65.12275464515818
0075.png,0.013851243622448979,0.1182437818877551,0.9999812396960059,66.71591592946122
0076.png,0.44401705994897955,0.8395846619897959,0.9984128211921403,51.05217696059711
0077.png,0.03499681122448979,0.23473373724489793,0.9999452531543901,62.69051885966152
0078.png,0.010004783163265307,0.07182716836734693,0.9999917874094968,68.12872680391217
0079.png,0.015625,0.08282844387755103,0.9999865845660267,66.19260334851798
0080.png,0.11991788903061225,0.398258131377551,0.999697153084003,55.934008755262134
0081.png,0.18638392857142858,0.7475286989795917,0.9994928887468773,54.01776390637891
0082.png,0.13897082270408162,0.19321986607142858,0.9997212333848762,51.086571982899216
0083.png,0.05271444515306123,0.11310188137755103,0.9999377255209335,60.143018156440185
0084.png,0.026626275510204078,0.1813217474489796,0.9999426295569787,62.46874430652148
0085.png,0.11700813137755103,0.18174027423469385,0.9998086159379521,54.157293201128994
0086.png,0.01518654336734694,0.14879623724489793,0.9999758526101988,66.31621426196635
0087.png,0.22642299107142858,0.44545200892857145,0.9995583057526448,54.48482408179083
0088.png,0.03437898596938775,0.09986846301020409,0.9999622225526635,61.639104134396064
0089.png,0.00643734056122449,0.10716278698979591,0.9999940284793069,70.04373875205134
0090.png,0.14006696428571427,0.2124123086734694,0.9997345996166084,56.667446447129784
0091.png,0.3377909757653061,0.47718032525510207,0.9992463801284055,50.3638276643412
0092.png,0.22769850127551022,0.7310467155612246,0.9993351039864911,54.557201887943485
0093.png,0.34648038903061223,0.38833306760204084,0.9990459924739528,51.612973802617375
0094.png,0.03513632015306122,0.04426419005102041,0.9999735794457548,62.67324085236914
0095.png,0.03796635841836735,0.12302694515306122,0.9999188022101904,62.336814175245976
0096.png,0.036830357142857144,0.009526466836734693,0.9999841248978147,62.46874430652148
0097.png,0.031349649234693876,0.2570750956632653,0.9999562225695661,63.16847674912949
0098.png,0.025031887755102043,0.1286670918367347,0.9999632054431105,64.14586758135059
0099.png,0.046257174744897954,0.30072146045918363,0.999935836940735,59.57153276164951
0100.png,0.015146683673469387,0.11738679846938775,0.9999893986348053,66.32762805255445
0101.png,0.23577008928571427,0.8911033163265307,0.9993488064528487,51.31235106712274
0102.png,0.28732860331632654,0.5031688456632653,0.9993470281994744,52.77215509523312
0103.png,0.25843032525510207,1.199398118622449,0.9994638115115771,53.52118550564485
0104.png,0.012057557397959181,0.05697943239795918,0.9999880154891198,67.31821022883767
0105.png,0.12103396045918369,0.26576450892857145,0.9998107940770673,56.03966887046067
0106.png,0.2989078443877551,1.0210857780612244,0.9987348307568734,53.01975353390996
0107.png,0.009745695153061226,0.06610730229591837,0.9999916932386967,68.24267538412616
0108.png,0.027483258928571428,0.06192203443877552,0.9999846948394381,63.00058640539931
0109.png,0.14610570790816327,0.6011838329081632,0.9992357732524837,56.484131780301496
0110.png,0.15882095025510207,0.6116669323979592,0.9992863780901032,55.85129334327054
0111.png,0.0067362882653061226,0.08661511479591837,0.9999958856787643,69.84659697258581
0112.png,0.021504304846938774,0.10564811862244898,0.9999875530274801,64.80554952853326
0113.png,0.16061463647959182,0.8713926977040816,0.9996491169787259,55.677632709488975
0114.png,0.0135124362244898,0.1464046556122449,0.9999893132349743,66.82346703669172
0115.png,0.2216597576530612,1.1847098214285714,0.9992493951608408,53.02936891382086
0116.png,0.257453762755102,0.442203443877551,0.9992847053122106,52.051827475599765
0117.png,0.011678890306122448,0.07162786989795919,0.9999908673131194,67.45678781518146
0118.png,0.10425302933673468,1.9709622130102045,0.9990236657970819,57.949916775088
0119.png,0.059091996173469385,0.11027184311224489,0.9998681761912731,60.41551699835955
0120.png,0.2926698022959184,0.8225645727040816,0.9989735425292129,53.1742785783711
0121.png,0.005440848214285714,0.08719308035714286,0.9999950462077182,70.7741375049548
0122.png,0.09630102040816325,0.3575414540816327,0.999793383805287,58.29449471923161
0123.png,0.2734175701530612,0.39176100127551017,0.9995354356246634,49.66750054764723
0124.png,0.07346141581632652,0.31465242346938777,0.9998347390085331,59.47021066653181
0125.png,0.4609773596938775,0.78125,0.9982354566407818,48.6640867171181
