epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6408016681671143,0.6827828884124756,1.1050010919570923,0.49947917461395264,0.6140103936195374,1.0362932682037354
1,0.7232785224914551,0.7963683605194092,0.6437584161758423,0.5036458373069763,0.6439891457557678,0.9462883472442627
2,0.7390801906585693,0.8177412152290344,0.5776045918464661,0.6411458253860474,0.7354246973991394,0.6720767617225647
3,0.7538540363311768,0.8345713019371033,0.5365182161331177,0.7369791865348816,0.8262061476707458,0.5162274837493896
4,0.7553957104682922,0.8344882130622864,0.556416928768158,0.7473958134651184,0.8364438414573669,0.500054121017456
5,0.7520555257797241,0.8378698825836182,0.5250271558761597,0.7755208611488342,0.8481793403625488,0.5340779423713684
6,0.7633607387542725,0.8439134955406189,0.5243929624557495,0.7630208134651184,0.8512983322143555,0.5067946314811707
7,0.7620760798454285,0.8445777893066406,0.5100142359733582,0.75,0.8305894136428833,0.5737163424491882
8,0.7687564492225647,0.851709246635437,0.4905519187450409,0.7593749761581421,0.8494309782981873,0.48299938440322876
9,0.761562168598175,0.8466004133224487,0.5105546116828918,0.7593749761581421,0.8539980053901672,0.4712904095649719
10,0.7678571343421936,0.8531414866447449,0.4944916069507599,0.7411458492279053,0.8210725784301758,0.537372887134552
11,0.7688848972320557,0.854758083820343,0.4925508201122284,0.760937511920929,0.8448819518089294,0.49341127276420593
12,0.7714542746543884,0.8582497835159302,0.47913333773612976,0.7713541388511658,0.8514607548713684,0.4740588068962097
13,0.7754368185997009,0.8588229417800903,0.48856109380722046,0.768750011920929,0.8587625026702881,0.47227898240089417
14,0.776593029499054,0.861808717250824,0.47485482692718506,0.7651041746139526,0.8470810055732727,0.565767228603363
15,0.7774922847747803,0.8624791502952576,0.47850358486175537,0.762499988079071,0.8539797067642212,0.48115620017051697
