epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.663155198097229,0.7438408136367798,0.5888160467147827,0.49947917461395264,0.5984258651733398,0.9040326476097107
1,0.719809889793396,0.8023524284362793,0.5349372029304504,0.5093749761581421,0.6370123624801636,0.8643105030059814
2,0.7336844801902771,0.8167282342910767,0.5187188386917114,0.5979166626930237,0.6845965385437012,0.8131705522537231
3,0.7440904378890991,0.8304066061973572,0.5012866258621216,0.7437499761581421,0.8127370476722717,0.5321869254112244
4,0.7393370866775513,0.8277043700218201,0.5041528344154358,0.7130208611488342,0.794213593006134,0.5472354292869568
5,0.7465313673019409,0.8324214220046997,0.49922361969947815,0.6895833611488342,0.7523065805435181,0.6085441708564758
6,0.7460174560546875,0.8312897682189941,0.49964073300361633,0.715624988079071,0.7890444993972778,0.587295651435852
7,0.750128448009491,0.8387213349342346,0.49096766114234924,0.6302083134651184,0.7146881818771362,0.8099620938301086
8,0.7529547810554504,0.8408175706863403,0.48738929629325867,0.7171875238418579,0.7956661581993103,0.5622137188911438
9,0.7534686326980591,0.8430779576301575,0.4857390820980072,0.7463541626930237,0.83575439453125,0.5092915892601013
10,0.751284658908844,0.8443359732627869,0.48233163356781006,0.7489583492279053,0.8390237092971802,0.49925124645233154
11,0.75937819480896,0.8495825529098511,0.4764968454837799,0.7359374761581421,0.8272291421890259,0.5258949995040894
12,0.7618191242218018,0.8504462838172913,0.47501030564308167,0.7484375238418579,0.8385613560676575,0.5074277520179749
13,0.7634891867637634,0.8514764904975891,0.4751092195510864,0.7270833253860474,0.8101727962493896,0.6085679531097412
14,0.7692703008651733,0.8569190502166748,0.46608859300613403,0.7322916388511658,0.8201584219932556,0.5193240642547607
15,0.7664439678192139,0.8582242727279663,0.46490466594696045,0.776562511920929,0.8541174530982971,0.4809240698814392
16,0.7746659517288208,0.8589417934417725,0.4633026421070099,0.770312488079071,0.8598304390907288,0.46509090065956116
17,0.7744090557098389,0.864319384098053,0.456064909696579,0.7562500238418579,0.8485566973686218,0.4785046875476837
18,0.7701695561408997,0.859685480594635,0.46190160512924194,0.7484375238418579,0.8442341685295105,0.49390241503715515
19,0.780190110206604,0.8680965900421143,0.44981831312179565,0.7723958492279053,0.8670071363449097,0.4552803337574005
20,0.7719681262969971,0.8639023303985596,0.45453619956970215,0.7739583253860474,0.8567914962768555,0.46943551301956177
21,0.7786484956741333,0.8692991733551025,0.44711726903915405,0.7239583134651184,0.8093656301498413,0.5977592468261719
22,0.7762076258659363,0.8668707609176636,0.4512159526348114,0.7677083611488342,0.8582003712654114,0.4725235402584076
23,0.7854573726654053,0.8713491559028625,0.44457370042800903,0.778124988079071,0.8638597130775452,0.4695392847061157
24,0.7818602323532104,0.8718452453613281,0.44341135025024414,0.7869791388511658,0.8701856732368469,0.44996020197868347
25,0.7819886803627014,0.8725477457046509,0.44243380427360535,0.768750011920929,0.8580686450004578,0.4749343991279602
26,0.7848150134086609,0.8773719668388367,0.4358510673046112,0.7677083611488342,0.8442355990409851,0.5067444443702698
27,0.7881659865379333,0.8784337043762207,0.43367505073547363,0.7822916507720947,0.8701179623603821,0.4523290991783142
28,0.7848150134086609,0.8761356472969055,0.4360926151275635,0.784375011920929,0.8715596795082092,0.44612160325050354
29,0.78828364610672,0.8803927302360535,0.42967885732650757,0.7713541388511658,0.8628172278404236,0.470129132270813
30,0.7872558832168579,0.8806435465812683,0.42837294936180115,0.7755208611488342,0.8688003420829773,0.44892120361328125
31,0.7900822162628174,0.8828105926513672,0.42573460936546326,0.7666666507720947,0.8590894937515259,0.4636788070201874
32,0.7918807864189148,0.8818171620368958,0.4283544421195984,0.7755208611488342,0.8682474493980408,0.4635379910469055
33,0.7904676198959351,0.8813689947128296,0.426772803068161,0.7770833373069763,0.8635499477386475,0.46366724371910095
34,0.7941932082176208,0.8843753337860107,0.4231013357639313,0.7598958611488342,0.8544795513153076,0.5138291120529175
