epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.636562168598175,0.6858952641487122,0.8671666383743286,0.49947917461395264,0.5873969197273254,0.7527250647544861
1,0.7086330652236938,0.7909933924674988,0.6006599068641663,0.5119791626930237,0.6397867798805237,0.8685634136199951
2,0.7294450402259827,0.8079366087913513,0.5951074361801147,0.6546875238418579,0.7311092615127563,0.629926323890686
3,0.7372816205024719,0.8224374651908875,0.5519713163375854,0.6223958134651184,0.693540632724762,0.8896158933639526
4,0.741906464099884,0.8215301632881165,0.5672938227653503,0.7380208373069763,0.8172267079353333,0.5675225853919983
5,0.740750253200531,0.8271716237068176,0.5508982539176941,0.7192708253860474,0.8065652251243591,0.5388991236686707
6,0.7587358951568604,0.8427078723907471,0.500446617603302,0.7598958611488342,0.8415019512176514,0.4963790476322174
7,0.7570657730102539,0.845382571220398,0.5042903423309326,0.7572916746139526,0.845935046672821,0.48290929198265076
8,0.7638745903968811,0.8477569222450256,0.5037916898727417,0.765625,0.852573812007904,0.4791874587535858
9,0.7616906762123108,0.8516117930412292,0.5012660026550293,0.7447916865348816,0.8340150713920593,0.5130497217178345
10,0.7632322907447815,0.8497710227966309,0.5116721987724304,0.7536458373069763,0.844831109046936,0.5034528374671936
11,0.7678571343421936,0.854933500289917,0.4918871223926544,0.7598958611488342,0.848853349685669,0.4774865210056305
12,0.7618191242218018,0.8511118292808533,0.48901063203811646,0.7598958611488342,0.8403769135475159,0.4982255697250366
13,0.7679855823516846,0.8545487523078918,0.4917428195476532,0.6932291388511658,0.7506749629974365,0.9628198742866516
14,0.7728674411773682,0.8633008599281311,0.4716344177722931,0.7744791507720947,0.8677115440368652,0.4498976171016693
15,0.7747944593429565,0.8638145923614502,0.47503718733787537,0.7437499761581421,0.8369318246841431,0.5025150179862976
16,0.7809609174728394,0.8671702742576599,0.46198713779449463,0.7744791507720947,0.8643541932106018,0.45329728722572327
17,0.7783915996551514,0.8666242361068726,0.4656938314437866,0.7666666507720947,0.8547627329826355,0.4984811544418335
18,0.7736382484436035,0.8618190884590149,0.4733700156211853,0.7718750238418579,0.858218789100647,0.4828433096408844
19,0.7830164432525635,0.8728492259979248,0.4505220353603363,0.778124988079071,0.8683564066886902,0.45136183500289917
20,0.7756937146186829,0.868828296661377,0.46070578694343567,0.7776041626930237,0.867473840713501,0.45221012830734253
21,0.7835302948951721,0.8745617270469666,0.4458358585834503,0.7635416388511658,0.8557685017585754,0.46768712997436523
22,0.7864850759506226,0.8707900643348694,0.45934155583381653,0.7578125,0.833430290222168,0.8962623476982117
23,0.7814748287200928,0.8717647790908813,0.45318567752838135,0.792187511920929,0.8780432343482971,0.4381813406944275
24,0.7900822162628174,0.8783432245254517,0.4398289918899536,0.7786458134651184,0.8668821454048157,0.45281779766082764
25,0.7872558832168579,0.8786096572875977,0.44470933079719543,0.7822916507720947,0.8687771558761597,0.4547809362411499
26,0.7895683646202087,0.877204418182373,0.4442293643951416,0.7666666507720947,0.855901300907135,0.46827539801597595
27,0.789311408996582,0.8805148601531982,0.4331972599029541,0.7734375,0.864392101764679,0.4565398097038269
28,0.789439857006073,0.8820546865463257,0.4299388527870178,0.7885416746139526,0.8791369795799255,0.4346972703933716
29,0.7950925230979919,0.8837264180183411,0.43459245562553406,0.7697916626930237,0.8418824076652527,0.5017898082733154
30,0.7916238307952881,0.8815751075744629,0.4401872754096985,0.7697916626930237,0.8614357709884644,0.4781392216682434
31,0.8012589812278748,0.8882373571395874,0.42085975408554077,0.7786458134651184,0.8625154495239258,0.4701685309410095
32,0.798561155796051,0.8848168849945068,0.43193310499191284,0.7984374761581421,0.8831512331962585,0.43545904755592346
33,0.7959917783737183,0.8857571482658386,0.4341024160385132,0.7880208492279053,0.8741984367370605,0.46190503239631653
34,0.8007451295852661,0.8875187039375305,0.42855173349380493,0.7864583134651184,0.8686841726303101,0.4617183804512024
35,0.7983042001724243,0.8891280293464661,0.4230157732963562,0.7875000238418579,0.8777048587799072,0.4526146650314331
36,0.7989465594291687,0.8897225260734558,0.4157542288303375,0.7630208134651184,0.8575296998023987,0.4758942723274231
37,0.7954779267311096,0.889729917049408,0.425550252199173,0.7838541865348816,0.8776333928108215,0.454623281955719
38,0.8003597259521484,0.8896363377571106,0.423017680644989,0.785937488079071,0.870771050453186,0.47001662850379944
39,0.8040853142738342,0.8913747668266296,0.41746246814727783,0.7864583134651184,0.879999041557312,0.44192495942115784
40,0.8062692880630493,0.8925269842147827,0.41240039467811584,0.7927083373069763,0.8749371767044067,0.44665271043777466
41,0.799717366695404,0.8931377530097961,0.41466137766838074,0.7901041507720947,0.878010094165802,0.44815361499786377
42,0.8040853142738342,0.8952013850212097,0.40881747007369995,0.7744791507720947,0.8561000823974609,0.4809516668319702
