epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6429855823516846,0.6900760531425476,1.075914978981018,0.49947917461395264,0.5583794713020325,0.6912035346031189
1,0.7147995829582214,0.7914690971374512,0.6329846978187561,0.5,0.5428995490074158,0.7238204479217529
2,0.7289311289787292,0.8116168975830078,0.58656245470047,0.5083333253860474,0.6307207942008972,0.8340458273887634
3,0.7350976467132568,0.820609986782074,0.5527227520942688,0.7401041388511658,0.824491024017334,0.5183709859848022
4,0.7485868334770203,0.831658124923706,0.5254288911819458,0.729687511920929,0.8236981630325317,0.5197897553443909
5,0.7539825439453125,0.8388609886169434,0.5271586775779724,0.7572916746139526,0.8465474247932434,0.4859427511692047
6,0.7601490020751953,0.8435288667678833,0.50942063331604,0.7494791746139526,0.8386008143424988,0.49318400025367737
7,0.7643885016441345,0.8478041291236877,0.5054994225502014,0.746874988079071,0.8347809910774231,0.4961635172367096
8,0.7652877569198608,0.851628839969635,0.489367812871933,0.6781250238418579,0.7502787709236145,0.6866028904914856
9,0.7714542746543884,0.8577547073364258,0.4825657308101654,0.7291666865348816,0.8134921789169312,0.5278956294059753
10,0.7749229073524475,0.8605934977531433,0.4721205532550812,0.7380208373069763,0.8232700228691101,0.511186420917511
11,0.769784152507782,0.8596790432929993,0.4765178859233856,0.7593749761581421,0.8516972661018372,0.47693952918052673
12,0.7733812928199768,0.8636245727539062,0.4649292230606079,0.7588541507720947,0.8481290340423584,0.48642048239707947
13,0.7774922847747803,0.866725742816925,0.4660644233226776,0.7593749761581421,0.8425604104995728,0.4844805896282196
14,0.7818602323532104,0.8685704469680786,0.4619351625442505,0.7401041388511658,0.8377171158790588,0.49879512190818787
15,0.786998987197876,0.8705939650535583,0.46343567967414856,0.7458333373069763,0.839091420173645,0.49947088956832886
16,0.7805755138397217,0.8709966540336609,0.4601907730102539,0.7692708373069763,0.858985185623169,0.4634671211242676
17,0.7864850759506226,0.8711712956428528,0.4602788984775543,0.7749999761581421,0.8650771975517273,0.4570673108100891
18,0.7783915996551514,0.868198573589325,0.465724915266037,0.715624988079071,0.7952483296394348,0.578051745891571
19,0.7836588025093079,0.8718281388282776,0.4493071138858795,0.7614583373069763,0.8546717762947083,0.4721408486366272
20,0.7886690497398376,0.878341794013977,0.4366888701915741,0.7755208611488342,0.8645236492156982,0.45671799778938293
21,0.7912384271621704,0.877638041973114,0.45056089758872986,0.754687488079071,0.8447021842002869,0.5086743235588074
22,0.7918807864189148,0.881287693977356,0.43509167432785034,0.7791666388511658,0.8619049787521362,0.46762657165527344
23,0.7926515936851501,0.8782856464385986,0.44217801094055176,0.768750011920929,0.8670418858528137,0.4523508846759796
24,0.7929085493087769,0.8799079656600952,0.4405512511730194,0.7395833134651184,0.8272425532341003,0.5258046388626099
25,0.7971479892730713,0.8887432813644409,0.42361322045326233,0.7786458134651184,0.8714041113853455,0.44664135575294495
26,0.7922661900520325,0.8842087984085083,0.42846372723579407,0.7817708253860474,0.8678802251815796,0.4523836076259613
27,0.7926515936851501,0.8843986392021179,0.4276663362979889,0.778124988079071,0.869655966758728,0.44444936513900757
28,0.798689603805542,0.8885113000869751,0.41952934861183167,0.7885416746139526,0.8763992190361023,0.45283371210098267
29,0.7981757521629333,0.8861275911331177,0.430424302816391,0.7770833373069763,0.8728064894676208,0.4420543909072876
30,0.7994604110717773,0.8883311152458191,0.43123099207878113,0.7776041626930237,0.8690319061279297,0.44796401262283325
31,0.8019013404846191,0.890359103679657,0.41594505310058594,0.706250011920929,0.8021435737609863,0.585257351398468
32,0.8021582961082458,0.8911908864974976,0.4170689582824707,0.706250011920929,0.8067080974578857,0.5759487152099609
33,0.8039568066596985,0.8898956179618835,0.4230767488479614,0.7333333492279053,0.8259649872779846,0.5251441597938538
34,0.799717366695404,0.8862348794937134,0.43743517994880676,0.746874988079071,0.846966028213501,0.4858889877796173
35,0.8019013404846191,0.8890884518623352,0.42642414569854736,0.6177083253860474,0.7069942355155945,0.9205805659294128
36,0.7979187965393066,0.8861660361289978,0.42520079016685486,0.651562511920929,0.7230570316314697,0.744730532169342
37,0.8065261840820312,0.8953859806060791,0.41128942370414734,0.7463541626930237,0.836540699005127,0.5103802680969238
38,0.8048561215400696,0.8964473605155945,0.4081710875034332,0.7942708134651184,0.8751769065856934,0.44241222739219666
39,0.8085817098617554,0.8983607292175293,0.40193721652030945,0.7744791507720947,0.8634368181228638,0.47550371289253235
40,0.8101233243942261,0.8972519636154175,0.408053457736969,0.6760416626930237,0.7545724511146545,0.7197749614715576
41,0.807939350605011,0.8988223671913147,0.4032568633556366,0.6812499761581421,0.7772696018218994,0.6679776906967163
42,0.807939350605011,0.8981296420097351,0.40447139739990234,0.7729166746139526,0.8634703755378723,0.4697096049785614
43,0.8151336312294006,0.9020113945007324,0.39755240082740784,0.734375,0.8152924180030823,0.564458966255188
44,0.8133350610733032,0.9025735259056091,0.395538866519928,0.7749999761581421,0.8627580404281616,0.47077950835227966
45,0.818345308303833,0.9021130204200745,0.396227091550827,0.645312488079071,0.7350581884384155,0.8411770462989807
46,0.816032886505127,0.9038606286048889,0.39459726214408875,0.7572916746139526,0.8539362549781799,0.47626563906669617
47,0.8124357461929321,0.8995084166526794,0.4028240442276001,0.784375011920929,0.865135908126831,0.47594261169433594
48,0.8115364909172058,0.9018214344978333,0.3962380588054657,0.7890625,0.8716953992843628,0.4536340832710266
