Image_Name,MSE,MAE,SSIM,PSNR
0001.png,4.397201849489796,21.05843431122449,0.9758080816970728,41.04533052372435
0002.png,13.177295918367346,27.899633290816325,0.9487052526239553,27.29476287341125
0003.png,12.341816804846939,41.46578045280613,0.945294389369563,34.75519634063187
0004.png,22.0716477997449,27.14993223852041,0.9150132885939827,25.046679435566265
0005.png,5.778519610969388,39.11796476403061,0.9860458150757297,39.452913438743515
0006.png,9.73323899872449,29.796456473214285,0.9499088035725225,36.88576993779052
0007.png,10.717873086734695,43.96990593112245,0.9772264900182888,32.03132052939491
0008.png,21.20834661989796,31.76347257653061,0.9308821295815227,31.737343662714224
0009.png,10.280532525510205,27.5081712372449,0.9423052568087956,34.60112256647159
0010.png,11.593949298469388,35.05560427295918,0.9463573732681173,33.462419276975595
0011.png,7.084343112244899,25.611088966836736,0.9569141900461208,38.89294301700568
0012.png,5.902961575255103,32.05223612882653,0.9763040276388897,39.95090095459318
0013.png,8.753208705357142,29.413046077806122,0.9418502857743226,36.443440909212214
0014.png,14.308294802295919,39.66145169005102,0.9584167184217526,26.72472510106386
0015.png,16.074637276785715,45.31869818239796,0.9598799672354176,26.56620392480958
0016.png,11.887715242346939,28.547114158163264,0.9495685393060583,33.447637671255215
0017.png,9.942263233418368,42.82587292729592,0.9841778899377892,36.79039346497631
0018.png,13.72700095663265,33.78061224489796,0.9341883036350798,30.175375511781
0019.png,4.157425860969388,33.178431919642854,0.9771038888783348,41.75480637657073
0020.png,17.563496492346935,41.265345982142854,0.9231344202650041,27.53492886538683
0021.png,26.681819993622447,70.00910794005101,0.9140978383662558,28.879936772281184
0022.png,7.212013711734694,37.883609693877546,0.9798861457469518,32.1639606239748
0023.png,13.236945950255103,18.577706473214285,0.9700419026401319,33.64228863586931
0024.png,13.157126913265305,28.180803571428573,0.9158158655067227,33.82472519959287
0025.png,9.907704878826532,38.352180325255105,0.9571298027701094,36.06487114569678
0026.png,47.32989875637755,95.62191087372447,0.924911200503476,21.673791514432324
0027.png,15.9208984375,40.46980628188776,0.9484050441973617,27.184007861498483
0028.png,11.835877710459183,18.03840481505102,0.9650089763966014,34.95226720842803
0029.png,12.188277264030612,39.32682955994898,0.9636191959149768,28.022289206207848
0030.png,33.40915975765306,73.86407844387756,0.9051103537220395,26.402035904992744
0031.png,11.708824936224488,38.21743463010205,0.955081672279847,32.05082415818042
0032.png,8.49105149872449,35.64518893494898,0.953605536731669,36.124020678753574
0033.png,5.313277264030612,20.146863042091837,0.9774804252574832,40.19902298700355
0034.png,8.41292649872449,30.207609215561224,0.966482729416306,36.488286548814244
0035.png,12.401586415816327,26.430285395408163,0.9169205222104768,32.827949849866066
0036.png,9.573282047193876,40.429707429846935,0.976692076504252,32.51069066752369
0037.png,11.30080117984694,29.196010044642858,0.94295727225939,32.844156628223885
0038.png,9.649334343112246,40.24818638392857,0.9692735143159075,35.70261473310165
0039.png,3.081154336734694,26.16613520408163,0.9846839900730934,43.02626829945826
0040.png,12.409737723214286,35.26157924107143,0.9326807277074397,33.62273060428813
0041.png,17.280213647959183,57.087731186224495,0.9708920022077847,32.9564733225852
0042.png,11.283262914540817,28.83591757015306,0.9592828323156171,35.0387188323662
0043.png,10.203244579081632,32.159159757653065,0.9647499339678709,34.23115885684191
0044.png,8.38930963010204,33.68490911989796,0.9620661973564388,31.945357476925803
0045.png,7.163982780612245,31.63647959183674,0.9569391503186983,37.353527707701396
0046.png,11.836356026785714,35.683773118622454,0.9531387675120315,31.820444375223843
0047.png,13.910235969387756,31.54081632653061,0.9236975674042192,31.64849519668887
0048.png,8.779555963010205,22.258510044642858,0.9800358938236167,37.40824277712812
0049.png,9.34929049744898,31.7887037627551,0.9730251226358585,33.17206191726004
0050.png,4.027722417091836,35.719447544642854,0.9859110953568923,41.05148165664026
0051.png,12.461654974489798,43.15824298469387,0.9621240868727728,34.72021079808624
0052.png,12.645886479591837,34.953483737244895,0.9428120277626212,32.53064257344346
0053.png,7.038285235969387,40.592215401785715,0.9849611469498922,38.389862014932646
0054.png,14.810746173469386,35.62547831632653,0.9444844917685742,30.446798990168432
0055.png,12.494559151785714,43.1407246492347,0.9823322797228422,33.29076041547209
0056.png,2.994997608418367,30.59763632015306,0.980994854619356,43.25005053456157
0057.png,6.0182358099489806,31.382633131377553,0.9623506944045608,40.01336393414823
0058.png,13.751275510204081,40.85766103316326,0.9437395128126853,31.646083301016724
0059.png,8.821269132653061,34.50649713010204,0.94519658316422,36.86046878705242
0060.png,10.386918048469388,37.963209502551024,0.9688813456900635,36.79992022688698
0061.png,8.30225605867347,28.46982621173469,0.9498029928002117,36.96208058593486
0062.png,9.714345503826532,35.24838568239796,0.9567474716691295,32.921551171377786
0063.png,17.267757493622447,43.818379304846935,0.9678711771231271,28.8097223944288
0064.png,18.460379464285715,42.016980229591844,0.933902020555686,24.17992693178428
0065.png,10.490951849489795,42.277702487244895,0.982667703153394,35.624828128153744
0066.png,8.657605229591837,40.66454081632653,0.9767131478577573,36.32888540278522
0067.png,11.808374521683673,45.82934072066327,0.9870787096934828,32.95814330719139
0068.png,3.4334542410714284,32.20713089923469,0.9774359661572634,42.29143407622345
0069.png,10.793088329081632,37.282047193877546,0.9591592630204051,34.98799725779207
0070.png,6.476981026785714,25.269710618622447,0.9668707673865673,39.08196999647758
0071.png,13.86846301020408,21.3453443877551,0.948998401003788,30.054411566568465
0072.png,6.103854432397959,38.464146205357146,0.9726243579555774,40.17074338852541
0073.png,15.580416932397961,41.362384406887756,0.9186409639516654,29.829972738131474
0074.png,9.789740114795919,20.846819196428573,0.9561301962477794,35.4223652292118
0075.png,9.8056640625,36.84628109056122,0.9649530322131933,34.03948923551252
0076.png,15.669084821428571,34.703443877551024,0.9212522078683626,28.837099082249225
0077.png,9.417530293367347,28.749521683673468,0.9568667964454491,35.50261831296925
0078.png,10.294523278061224,27.709223533163264,0.9684396568703496,34.914178429037534
0079.png,0.22082270408163265,7.702566964285714,0.9985074992587114,54.690366371438245
0080.png,9.611846301020408,39.86965880102041,0.9738431486005119,35.36674614477509
0081.png,10.988321109693876,43.052176339285715,0.9739837433644359,35.144153957802985
0082.png,12.636200573979592,27.112882653061224,0.9205320696120581,32.56120065538581
0083.png,5.788265306122448,29.092912946428573,0.9724276840186477,39.438186990857034
0084.png,3.1326132015306123,29.975605867346935,0.9784589452511655,43.11551502432198
0085.png,6.786810427295919,30.82300302933673,0.967426332271818,38.31822452562243
0086.png,6.19547193877551,27.37101403061224,0.9581940437356463,38.30644705928496
0087.png,8.45149075255102,30.409518494897956,0.9598539717379736,35.61455523800274
0088.png,12.244618941326532,41.06704400510204,0.9709697240924812,34.6070631164451
0089.png,14.842055963010202,39.734753667091844,0.9328123243439256,29.822677828640764
0090.png,5.636320153061225,26.45687181122449,0.9729961010466048,40.35032987976945
0091.png,11.100625797193876,29.179866868622447,0.9739434358716376,35.88705529833664
0092.png,7.023517219387756,27.833984375,0.9581371325300424,38.75754569759426
