epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5097635984420776,0.5162700414657593,0.6930108666419983,0.5005208253860474,0.5005208253860474,0.6931276917457581
1,0.5551130771636963,0.5563058257102966,0.6923184394836426,0.5588541626930237,0.6347215175628662,0.6916207075119019
2,0.5863309502601624,0.6087649464607239,0.6903747916221619,0.6223958134651184,0.685375988483429,0.6880559921264648
3,0.6050873398780823,0.6458929777145386,0.6860921382904053,0.5276041626930237,0.604468047618866,0.6869384050369263
4,0.6217882633209229,0.6601616144180298,0.6761898398399353,0.5020833611488342,0.5948939323425293,0.6877287030220032
5,0.6175488233566284,0.6503884792327881,0.6634112000465393,0.6119791865348816,0.6777178049087524,0.6509264707565308
6,0.6408016681671143,0.6770085692405701,0.6442010402679443,0.5640624761581421,0.6432637572288513,0.6877787709236145
7,0.6571171879768372,0.6936910152435303,0.6319367289543152,0.5588541626930237,0.6305845975875854,0.6826395392417908
8,0.6780575513839722,0.7324489951133728,0.6068926453590393,0.6817708611488342,0.7524561285972595,0.5899055004119873
9,0.6708633303642273,0.7328858971595764,0.6044921278953552,0.707812488079071,0.7778966426849365,0.5678942799568176
10,0.6867934465408325,0.7536230683326721,0.5869301557540894,0.6869791746139526,0.717125415802002,0.6149203181266785
11,0.5492035150527954,0.5895764827728271,0.6678671836853027,0.5026041865348816,0.5023423433303833,0.693274199962616
12,0.49897223711013794,0.4964042007923126,0.6936028599739075,0.5026041865348816,0.4994793236255646,0.6931139230728149
13,0.4913926124572754,0.4945515990257263,0.6934881806373596,0.5010416507720947,0.5018256306648254,0.6936778426170349
14,0.499357670545578,0.49555808305740356,0.6935089230537415,0.5010416507720947,0.5010411143302917,0.6930713057518005
15,0.4949897229671478,0.4977506697177887,0.6934120059013367,0.4984374940395355,0.49869871139526367,0.6933892369270325
16,0.4969167411327362,0.4913462698459625,0.6934607625007629,0.4989583194255829,0.5005204081535339,0.6930410265922546
17,0.4925488233566284,0.49884459376335144,0.6932893991470337,0.504687488079071,0.6868691444396973,0.692974328994751
18,0.4984583854675293,0.500464916229248,0.6933379173278809,0.5010416507720947,0.678998589515686,0.6929535269737244
19,0.501284658908844,0.5013393759727478,0.6932801604270935,0.5,0.6674302816390991,0.6928468346595764
