epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7452466487884521,0.8292718529701233,0.503261387348175,0.5005208253860474,0.5005208253860474,0.6932506561279297
1,0.7723535299301147,0.8604621887207031,0.46103551983833313,0.5010416507720947,0.5010416507720947,0.6930707693099976
2,0.7810894250869751,0.870236337184906,0.4460082948207855,0.4989583194255829,0.5795700550079346,0.6932127475738525
3,0.7845580577850342,0.8751562237739563,0.43846598267555237,0.5015624761581421,0.6415595412254333,0.7125717997550964
4,0.7923946380615234,0.880412757396698,0.4303315579891205,0.49947917461395264,0.6279931664466858,0.8470836281776428
5,0.7959917783737183,0.8831307888031006,0.4258764386177063,0.5791666507720947,0.6940531730651855,0.6959779262542725
6,0.7971479892730713,0.884405791759491,0.42321789264678955,0.7604166865348816,0.8436217308044434,0.486172080039978
7,0.7981757521629333,0.8869869709014893,0.41837289929389954,0.7692708373069763,0.85829758644104,0.4652232229709625
8,0.8024151921272278,0.8909997344017029,0.4114716649055481,0.7744791507720947,0.8724572658538818,0.46462899446487427
9,0.8031859993934631,0.8919010758399963,0.41003668308258057,0.793749988079071,0.8829740881919861,0.42914530634880066
10,0.8065261840820312,0.8974675536155701,0.4008029103279114,0.7265625,0.8025364279747009,0.584929347038269
11,0.8075539469718933,0.897836446762085,0.39999744296073914,0.7604166865348816,0.8376321792602539,0.5263665318489075
12,0.8105087280273438,0.897627592086792,0.4005132019519806,0.6838541626930237,0.7644128203392029,0.6674545407295227
13,0.8123072981834412,0.9009088277816772,0.394768089056015,0.7927083373069763,0.8767946362495422,0.44491875171661377
14,0.8106371760368347,0.9017572402954102,0.3927026093006134,0.784375011920929,0.8707720637321472,0.455481618642807
15,0.8207862377166748,0.9072073698043823,0.38350555300712585,0.7744791507720947,0.8654007315635681,0.48742473125457764
16,0.8166752457618713,0.9067351222038269,0.3832169473171234,0.7880208492279053,0.8775665760040283,0.4466345012187958
17,0.8200154304504395,0.9070841073989868,0.38243231177330017,0.7536458373069763,0.841780424118042,0.5567496418952942
18,0.8221994042396545,0.9074627161026001,0.3816010355949402,0.7651041746139526,0.8502123951911926,0.4858851432800293
19,0.8238694667816162,0.9098755121231079,0.37748265266418457,0.7932291626930237,0.8820958137512207,0.44710710644721985
